name,spec_num,spec_states,spec_fin,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries,mistake_time_extraction,extraction_mistake_after,dfa_extract_states,dfa_extract_final,dfa_extract_mem_queries,mistake_time_rand,mistake_rand,rand_num_queries
10,5,21,18,62.5,"('a', 'b', 'c', 'd', 'c', 'd', 'c', 'd', 'b', 'd', 'e', 'e')",31,6,38283,6.15e+02,NAN,369,76,3583273,6.78,dadeedccccbbbbbcddeadbeeedddecbcbdcbbbcaedeabecedbaecbbacdaddcedceecdeebcdabddcaeccbeddebbbebaebbdbeedabdcebdeaaeaeeaccdaaebcecbeebcaebadaebeccccdbebbddaddbbabcbdececeeaebabaaeaaedccdddceaeaaedadacedbbdbbedaeceebbedadaccdbeaaeebdaeeeceacedaedadaecabcbadcbdaceedccbcdcebadbddedeedccbaabbcbecbabdcbbdabcebbeebcaaa,5511
8,1,20,19,29.9,"('c', 'd', 'a', 'a', 'a')",26,12,11870,6.22e+02,"('c', 'd', 'a', 'a', 'a')",390,123,3742628,0.667,eeacbbcebadedbacdbdbbcdeddecdcbebea,1035
8,2,20,14,1.64,"('c', 'a', 'd', 'a', 'e', 'a')",24,9,7004,6.3e+02,NAN,470,151,5527363,0.626,eddacbaceadbdbcbaccedcebbbcaaebdcebacecdbdeeedcdeacccebbdbacebedccbdcaceadabdabacbaddedeeedbdbbcdabcba,302
8,3,20,16,2.85,"('b', 'b', 'b', 'c', 'd', 'a', 'e', 'a')",25,11,8510,6.1e+02,"('c', 'a', 'd', 'd', 'a')",403,123,4029443,0.119,cdceadaa,208
8,4,20,19,41.2,"('c', 'd', 'c', 'c', 'a', 'd')",22,10,9706,6e+02,"('c', 'a', 'c', 'b', 'b', 'a')",410,139,3980740,1.41,baabebaccaceedcbdbaeadadedebbdecadadccdddececdeabeaddaeccaecbcabaaeaeebccbacdbaabcacac,1886
8,5,20,15,1.59,"('c', 'd', 'c', 'a', 'd')",22,10,6995,6.2e+02,NAN,463,170,5303709,0.515,cdbcdababb,810
17,1,21,10,33.4,"('b', 'b', 'b', 'c', 'c', 'd', 'e', 'c', 'd', 'd', 'a', 'a')",38,6,26728,6.24e+02,NAN,410,98,4443105,7.08,accdebcabdecccbaaedbacedbbdeeadccecc,11836
17,2,21,10,22.0,"('b', 'b', 'd', 'b', 'd', 'c', 'b')",35,7,26257,6.01e+02,"('b', 'b', 'd', 'b', 'd', 'c', 'b')",367,88,3405819,0.598,ceeddceecaecabbdbdcb,1020
17,3,21,11,14.6,"('a', 'b', 'a', 'a', 'd', 'e', 'a', 'c', 'c', 'b', 'e')",34,12,25729,6.14e+02,NAN,326,66,2566972,1.51,bcdcedaddcbbcbeceebbbaddecbdbcaeebdddecebecdeab,2447
17,4,21,18,70.0,"('a', 'a', 'c', 'e', 'd', 'a', 'd', 'e', 'e', 'a', 'e', 'c')",42,10,33844,6.4e+02,NAN,409,102,4330659,4.97,cbceeeebeabccebbddebbabadbeeecbaebdabbaccecadaccceadeeeacddd,7860
17,5,21,15,9.35e+02,NAN,160,33,643133,6.12e+02,NAN,404,100,4273218,1.25,aeeccbddebeecdb,2015
15,1,16,14,15.4,"('d', 'e', 'c', 'd', 'c', 'b', 'c', 'd', 'e', 'b')",24,19,22785,6.15e+02,NAN,446,325,5335789,5.55,bbbcccaecabdaeadecbceedccdaeececbabeaebcac,12242
15,2,16,13,8.19,"('e', 'e', 'c', 'd', 'c', 'b', 'c', 'd', 'a', 'a', 'b')",24,19,11939,6.02e+02,NAN,458,344,5549174,14.0,caacdaaeebaeaaacebcaecdbecea,32628
15,3,16,15,10.9,"('c', 'c', 'e', 'e', 'e', 'b', 'd', 'e', 'b', 'a', 'b')",23,17,19637,6.1e+02,"('a', 'c', 'c', 'b', 'c', 'c', 'b', 'c', 'e', 'a', 'c', 'b')",431,309,5087972,8.35,acedaebbabddaabdbdddcbdcebeadedeaaebdadccaadcebaeeacccbbeabbeecbedddeeebdabbaebbeaadeaabcbdcbbbd,18296
15,4,16,14,15.3,"('a', 'd', 'd', 'c', 'e', 'd', 'c', 'd', 'e', 'c', 'c')",22,18,16895,57.1,NAN,65,48,127250,4.67,bddcaadcdeeacdabecbaaddebcaeedecdceebbbadacbbaabbdcaabeceeedece,10263
